	D-Glc-b	D-Glc-a	L-Glc-b	L-Glc-a	D-Gal-b	D-Gal-a	L-Gal-b	L-Gal-a	D-Man-b	D-Man-a	L-Man-b	L-Man-a	D-Fuc-b	D-Fuc-a	L-Fuc-b	L-Fuc-a	D-GlcNAc-b	D-GlcNAc-a	L-GlcNAc-b	L-GlcNAc-a	D-GalNAc-b	D-GalNAc-a	L-GalNAc-b	L-GalNAc-a	D-ManNAc-b	D-ManNAc-a	L-ManNAc-b	L-ManNAc-a	D-Rha-b	D-Rha-a	L-Rha-b	L-Rha-a	D-Xyl-b	D-Xyl-a	L-Xyl-b	L-Xyl-a	L-Ara-b	L-Ara-a	D-Neu5Ac-b	D-Neu5Ac-a
D-Glc-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Glc-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Glc-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Glc-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Gal-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Gal-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Gal-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Gal-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Man-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Man-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Man-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Man-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
