	D-Glc-b	D-Glc-a	L-Glc-b	L-Glc-a	D-Gal-b	D-Gal-a	L-Gal-b	L-Gal-a	D-Man-b	D-Man-a	L-Man-b	L-Man-a	D-Fuc-b	D-Fuc-a	L-Fuc-b	L-Fuc-a	D-GlcNAc-b	D-GlcNAc-a	L-GlcNAc-b	L-GlcNAc-a	D-GalNAc-b	D-GalNAc-a	L-GalNAc-b	L-GalNAc-a	D-ManNAc-b	D-ManNAc-a	L-ManNAc-b	L-ManNAc-a	D-Rha-b	D-Rha-a	L-Rha-b	L-Rha-a	D-Xyl-b	D-Xyl-a	L-Xyl-b	L-Xyl-a	L-Ara-b	L-Ara-a	D-Neu5Ac-b	D-Neu5Ac-a
D-Glc-b	1	0.909090909090909	0.909090909090909	0.863636363636364	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.954545454545455	0.863636363636364	0.863636363636364	0.818181818181818	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.954545454545455	0.863636363636364	0.909090909090909	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273
D-Glc-a	0.909090909090909	1	0.863636363636364	0.818181818181818	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.818181818181818	0.863636363636364	0.772727272727273	0.727272727272727	0.863636363636364	0.954545454545455	0.818181818181818	0.772727272727273	0.772727272727273	0.863636363636364	0.727272727272727	0.681818181818182	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.727272727272727
L-Glc-b	0.909090909090909	0.863636363636364	1	0.909090909090909	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.863636363636364	0.818181818181818	0.954545454545455	0.863636363636364	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.909090909090909	0.863636363636364	0.954545454545455	0.863636363636364	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818
L-Glc-a	0.863636363636364	0.818181818181818	0.909090909090909	1	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.954545454545455	0.727272727272727	0.681818181818182	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	0.863636363636364	0.818181818181818	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.818181818181818	0.772727272727273
D-Gal-b	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	1	0.909090909090909	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.909090909090909	0.863636363636364	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.818181818181818	0.727272727272727	0.863636363636364	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	0.863636363636364	0.863636363636364	0.818181818181818	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.772727272727273	0.772727272727273
D-Gal-a	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.909090909090909	1	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727
L-Gal-b	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	1	0.909090909090909	0.909090909090909	0.863636363636364	0.818181818181818	0.727272727272727	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.909090909090909	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273	0.863636363636364	0.818181818181818	0.863636363636364	0.954545454545455	0.727272727272727	0.772727272727273
L-Gal-a	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.909090909090909	1	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.681818181818182	0.772727272727273	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.954545454545455	0.863636363636364	0.772727272727273	0.727272727272727
D-Man-b	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.909090909090909	0.863636363636364	1	0.909090909090909	0.818181818181818	0.727272727272727	0.772727272727273	0.681818181818182	0.909090909090909	0.863636363636364	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	0.863636363636364	0.818181818181818	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.863636363636364	0.909090909090909	0.727272727272727	0.727272727272727
D-Man-a	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.909090909090909	1	0.727272727272727	0.727272727272727	0.727272727272727	0.772727272727273	0.863636363636364	0.818181818181818	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.863636363636364	0.909090909090909	0.681818181818182	0.681818181818182
